Table of contents for Lexis Coding Project creatd 2013-12-14
id 	 file_name 	 aticle_Title 	 article_Date 	 Classified_as 	 classProbability 	 date_Classified
160 	files/notRelevent/article160	McCain Emphasizes Distance From Bush; Criticism of Administration Stepped Up	2008-10-21	0	files/2008/2008-1.html	2013-12-14
161 	files/notRelevent/article161	Station Break: Talkng Heads, Presidential Debates, Palin, Actors and Age Differences; Pop Culture and More	2008-10-21	0	files/2008/2008-1.html	2013-12-14
162 	files/notRelevent/article162	Chatological Humor: In Which Gene Reveals Himself to be a Word Snob of the First Order (UPDATED 10.22.08); aka Tuesdays With Moron	2008-10-21	0	files/2008/2008-1.html	2013-12-14
163 	files/notRelevent/article163	Post Politics Hour; washingtonpost.com's Daily Politics Discussion	2008-10-21	0	files/2008/2008-1.html	2013-12-14
164 	files/notRelevent/article164	As Fuel Prices Fall, Will Push For Alternatives Lose Steam?	2008-10-20	0	files/2008/2008-1.html	2013-12-14
165 	files/notRelevent/article165	The Democrats' Daunting Digits	2008-10-20	0	files/2008/2008-1.html	2013-12-14
166 	files/notRelevent/article166	Obama Endorsed By Colin Powell; Democrat Wins Praise From Prominent Republican, Announces Record $150 Million Fundraising Month	2008-10-20	0	files/2008/2008-1.html	2013-12-14
167 	files/notRelevent/article167	Obama's September Haul Provides Huge Advertising Edge; Amount More Than Doubles Old Record	2008-10-20	0	files/2008/2008-1.html	2013-12-14
168 	files/notRelevent/article168	Pet Songs; Celebrating Animal Companions Through Music and Video	2008-10-20	0	files/2008/2008-1.html	2013-12-14
169 	files/notRelevent/article169	Critiquing the Press	2008-10-20	0	files/2008/2008-1.html	2013-12-14
170 	files/notRelevent/article170	Post Politics Hour; washingtonpost.com's Daily Politics Discussion	2008-10-20	0	files/2008/2008-1.html	2013-12-14
171 	files/notRelevent/article171	WILL GUN-TOTTING, CHURCHGOING WHITE GUYS PULL THE LEVER FOR OBAMA?	2008-10-19	0	files/2008/2008-1.html	2013-12-14
172 	files/notRelevent/article172	He Just Can't Quit W	2008-10-19	0	files/2008/2008-1.html	2013-12-14
173 	files/notRelevent/article173	Proof Pudding	2008-10-19	0	files/2008/2008-1.html	2013-12-14
174 	files/notRelevent/article174	A Hale Chief? Better Check Up on That.	2008-10-19	0	files/2008/2008-1.html	2013-12-14
175 	files/notRelevent/article175	Economic Downturn Sidelines Donors to '527' Groups	2008-10-19	0	files/2008/2008-1.html	2013-12-14
176 	files/notRelevent/article176	Last-Minute Mischief	2008-10-18	0	files/2008/2008-1.html	2013-12-14
177 	files/notRelevent/article177	NEARING RECORD, OBAMA AD EFFORT SWAMPS McCAIN	2008-10-18	0	files/2008/2008-1.html	2013-12-14
178 	files/notRelevent/article178	Is Anybody Happy?	2008-10-18	0	files/2008/2008-1.html	2013-12-14
179 	files/notRelevent/article179	Campaigns Tangle Over Health Care	2008-10-18	0	files/2008/2008-1.html	2013-12-14
180 	files/notRelevent/article180	Questions Linger About McCain's Prognosis After Skin Cancer	2008-10-18	0	files/2008/2008-1.html	2013-12-14
181 	files/notRelevent/article181	Bush Defends Rescue Plan; Government Cash Infusion Was a 'Last Resort,' He Says	2008-10-18	0	files/2008/2008-1.html	2013-12-14
182 	files/notRelevent/article182	ON NYTIMES.COM	2008-10-17	0	files/2008/2008-1.html	2013-12-14
183 	files/notRelevent/article183	Polls Cause Campaigns to Change Their Itineraries	2008-10-17	0	files/2008/2008-1.html	2013-12-14
184 	files/notRelevent/article184	Rivals' Visions Differ on Unleashing Innovation	2008-10-17	0	files/2008/2008-1.html	2013-12-14
185 	files/notRelevent/article185	Debates Over, Candidates Begin Final Sprint	2008-10-17	0	files/2008/2008-1.html	2013-12-14
186 	files/notRelevent/article186	Spare Times: For Children	2008-10-17	0	files/2008/2008-1.html	2013-12-14
187 	files/notRelevent/article187	'Joe the Plumber' caught in post-debate glare; Obama tax plan would likely help Ohioan	2008-10-17	0	files/2008/2008-1.html	2013-12-14
188 	files/notRelevent/article188	Last Debate Is Not a Winner, In the Ratings	2008-10-17	0	files/2008/2008-1.html	2013-12-14
189 	files/notRelevent/article189	As McCain's Road Gets Steeper, Obama Warns of Overconfidence	2008-10-17	0	files/2008/2008-1.html	2013-12-14
190 	files/notRelevent/article190	Where Prescription Drugs and Doctor's Appointments Don't Mix; __	2008-10-17	0	files/2008/2008-1.html	2013-12-14
191 	files/notRelevent/article191	Who's Playing the Race Card?	2008-10-17	0	files/2008/2008-1.html	2013-12-14
192 	files/notRelevent/article192	'We Tried Not to Cross the Line of Truth'; 'We Tried Not to Cross the Line of Truth'	2008-10-17	0	files/2008/2008-1.html	2013-12-14
193 	files/notRelevent/article193	After Debate, Glare Of Media Hits Joe; Plumbers Union, Tax Collectors Notice	2008-10-17	0	files/2008/2008-1.html	2013-12-14
194 	files/notRelevent/article194	Two Answers to the Question 'More of the Same?'	2008-10-17	0	files/2008/2008-1.html	2013-12-14
195 	files/notRelevent/article195	The Financial Crisis And You: Effects on the Election	2008-10-17	0	files/2008/2008-1.html	2013-12-14
196 	files/notRelevent/article196	A Leaky Argument	2008-10-17	0	files/2008/2008-1.html	2013-12-14
197 	files/toCode/article197	G.O.P. Boos Obama for Ad Buy	2008-10-16	1	files/2008/2008-1.html	2013-12-14
198 	files/notRelevent/article198	Final fact check: Claims re-examined; Rivals' third round covers tax cuts, Iraq	2008-10-16	0	files/2008/2008-1.html	2013-12-14
199 	files/notRelevent/article199	Economy again is front and center; Candidates spar over rescue plans, ad tactics	2008-10-16	0	files/2008/2008-1.html	2013-12-14
200 	files/notRelevent/article200	'Latinos '08': A Split Ticket; PBS Documentary Questions Assumptions About Voters	2008-10-16	0	files/2008/2008-1.html	2013-12-14
201 	files/notRelevent/article201	Both Campaigns Distorting Facts on Money Matters	2008-10-16	0	files/2008/2008-1.html	2013-12-14
202 	files/notRelevent/article202	Candidates Make A Name for This Guy Joe	2008-10-16	0	files/2008/2008-1.html	2013-12-14
203 	files/notRelevent/article203	At Height of Election Season, a Full Haul of Blog Items	2008-10-16	0	files/2008/2008-1.html	2013-12-14
